track_id,track_name,artist_name,album_name,genre,popularity,duration_ms,danceability,energy,explicit,last_updated
trk_001,Midnight City,Nova Waves,Night Drive,pop,82,210000,0.78,0.7,false,2026-05-01 10:00:00
trk_002,Blue Horizon,Aria Stone,Ocean Lights,indie,74,195000,0.65,0.55,false,2026-05-01 10:15:00
trk_003,Bassline Rush,DJ Pulse,Club Motion,edm,88,180000,0.85,0.92,false,2026-05-02 09:10:00
trk_004,Quiet Roads,The Lanterns,Acoustic Days,folk,61,230000,0.52,0.4,false,2026-05-02 11:30:00
trk_005,Skyline Beat,Urban Echo,City Sounds,hip-hop,79,205000,0.81,0.76,true,2026-05-03 12:00:00
trk_006,Golden Hour,Maya Rivers,Sunset Notes,pop,90,200000,0.75,0.68,false,2026-05-03 13:20:00
trk_007,Neon Dreams,DJ Pulse,Club Motion,edm,86,190000,0.88,0.89,false,2026-05-04 09:45:00
trk_008,Rainy Window,Aria Stone,Ocean Lights,indie,70,215000,0.58,0.5,false,2026-05-04 14:00:00
trk_009,Morning Coffee,The Lanterns,Acoustic Days,folk,67,240000,0.49,0.38,false,2026-05-05 08:30:00
trk_010,Night Runner,Urban Echo,City Sounds,hip-hop,84,198000,0.83,0.8,true,2026-05-05 16:15:00
